COUNTER,READING
31,"{""data"":[[-3.545145504428466,-1.4680062748425042,0.9846397242697965,3.0701047465675266,3.4391314387191003,2.348410535211442,1.10766191004936,-0.13362207224483336,-1.088821653414053,-0.3521608581192496,1.745766756344362,3.398345326580623,3.8714888626348483,2.8367038568915532,-0.006712244001051193,-3.1908867559673397],[-0.7916140079287737,0.06844055791964876,0.8959524531211897,1.5930428790499813,1.3057635616287313,0.25829191670244517,-0.7613179704271241,-1.725699430861582,-2.1337562997250377,-0.4427816966210598,3.152501084232352,6.214466714064298,7.057450614151666,5.5671418289999925,2.393178945712817,-0.3686356542362774],[-0.9524700553421188,1.2472179661986653,3.1356189181335417,3.1738792471395163,1.718070700504752,-0.45594033119590305,-2.282117877376357,-2.3415334170666933,-0.5559331316836655,1.7129530877077384,3.084782849669428,2.1997773774462672,-1.3218945319291309,-5.256202976248325,-6.47689404342966,-3.9006105813126286],[0.7786880704701005,1.348411586775316,2.723500604594891,4.071830371302715,3.5244567805715805,1.1041331359001232,-1.5543343226889184,-3.5286080530948007,-4.282557139834632,-3.0420843076527317,-0.7146611098057407,0.5681341023764777,0.4311409961797623,-0.26529487285997,-1.3066111782727425,-2.063558277390201],[-0.9913454990439942,-0.055434381948827216,1.830836316680516,3.752078244350831,3.785781905774366,2.1094703375168544,0.4334130535401266,-0.6827354705348244,-1.1823335060551845,-0.15234143765631503,1.9623991421749036,2.985822367033332,2.207749999478397,0.24442262757292932,-2.851280794000635,-5.88689102406533],[-5.357409157350634,-1.9547639940147672,1.0449725291235863,2.200056375154153,1.7287002403008938,0.043058886870795066,-1.7494570819519564,-2.059265470185174,-0.6694891824101226,1.3671524735642042,2.5520642728124088,1.3889168170365802,-2.263353218313224,-6.319609265506381,-7.874646281812832,-5.642959110283401],[-6.763646781432517,-5.348493605325821,-3.7532472214097963,-2.3732710465106677,-2.0205763659229383,-2.818942476002171,-4.0169192320369325,-4.963295358350435,-4.789357340440985,-2.332543217301738,1.5650645876659515,4.165496692827163,3.903991058656289,1.1960929594107617,-2.5781696436695962,-5.139500272558461],[-12.051319818704993,-8.702865056769866,-3.216127476636643,1.8668871468022303,3.29815770302354,1.2718513124353161,-1.9573299944456446,-5.316468687128417,-7.144531340340517,-4.84514362077113,0.5183949026910719,5.251095052168026,7.381624951043043,6.086625918770996,1.533592372979776,-2.942204139760068]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029377396.315},""label"":""raw""}"
32,"{""data"":[[-4.419703042863358,-3.4356457657760524,-1.577256985444674,0.3894350261514712,1.522768734760788,0.6815235007718936,-0.9764889951820086,-1.5722764941147198,-1.2383594552020147,-0.387599610843292,1.2442243385665435,2.7438507681185427,3.158858560994113,2.98191376483744,2.6294144432180193,1.8044902453324014],[-0.4839935583416415,1.4374447651048374,3.1852327807172824,4.240685791658945,4.55059481649087,3.3009375331587227,1.042279702505446,-1.0840290579148466,-2.736755108029411,-2.968684361747952,-0.6359109063592983,3.022847551511412,5.069996122013341,3.8984593962670946,0.028867358744268046,-4.873498552646395],[1.0265412496461637,5.594880331039423,7.005313830780288,4.570173697940244,0.7716235116553065,-1.4287020651781044,-1.2518516940925695,0.6299550615020069,2.9724820099963405,4.205146732680625,3.6845245109573064,2.103900618489618,-0.03475650640156758,-2.8107509120746736,-5.337836900056795,-6.214534208133353],[-1.5623893302356886,-0.5495680498555153,-0.3650252297714998,-0.6164268395416074,-0.9359541364962252,-1.9833110074539375,-3.0960345625722616,-3.1258892631833115,-2.425609109658441,-1.2480995850117862,1.1153343933421875,3.9381849531361675,5.320559754133291,4.772397154679641,2.7820443682643656,-0.08622663299656264],[-6.591575027534181,-4.903093769547441,-2.3776663657495227,0.4037313610943083,2.4478566969185085,2.0390510720808135,-0.1903319993494299,-2.182202623415987,-3.233135351279899,-2.9227559969629966,-0.34389806996971806,3.419785991749537,5.9451389791384885,6.399721166798636,4.791384880764321,1.037793946650484],[-0.8601446676604825,4.0089731532180535,6.437377515016438,5.192965251549611,1.5059444929905537,-2.29236123864912,-4.695557509146441,-4.777129287611508,-2.604409056502258,0.22474034933173148,2.181593884070125,2.896872452149146,2.4227026902611266,0.8855043185302566,-0.7804149297288765,-1.5012571916650268],[-4.598395011693411,-1.624084565985933,1.3877487633887597,2.8502688102814617,1.9942923457426427,-1.3253687655730744,-5.344703358613272,-7.57470167540351,-6.984177188066867,-3.8697872786320797,0.4951683127258897,3.560301727178812,3.1731412779406187,-0.3431274735207466,-4.652851975228758,-7.435700027379362],[-3.7572343150790517,-1.6376800946948913,0.8116056482327907,2.6883412589618505,2.814095626994931,-0.10767146573507058,-4.1323999267943,-7.134772933241241,-9.201336914514876,-9.162828768615286,-5.266449837450537,0.6339732673381273,5.2790924873992715,7.134649782003426,5.381724609050856,0.5223876369694302]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029377458.64},""label"":""raw""}"
33,"{""data"":[[0.8805997329202361,0.5639779073118627,0.36894728389421405,-0.1725746193225926,-0.28103208122373613,-0.13430955671825717,-0.9039716005369616,-2.068209071766207,-2.753124083712412,-3.0612809329636104,-2.3371874687408742,-0.017680313146973603,1.8813542540034056,1.3248670642040192,-0.9243776372445058,-3.3897491944850335],[-8.095597811832501,-7.321296438268027,-3.4378509254384193,0.7654841639306857,3.6834789408533455,4.066180557231325,1.34379108225976,-2.347663044647269,-4.654428216015185,-5.006154802417775,-3.3437170887256795,-0.3036623700740131,1.8506967397620915,1.531389360548728,-0.34423343248962746,-2.153674347089944],[-5.210033846817628,-2.684754831842122,1.067159178087978,4.728895954491347,6.651077571385961,6.312836148502421,3.9491483572533688,0.15761633273855313,-2.946510295259497,-2.893595496359274,0.1695608780521609,3.951858578456285,5.779320805781113,3.581681009455349,-1.726251959492116,-5.991290610473516],[-1.991400412984174,-1.0672597791043403,1.7011875587816836,3.866415519754614,4.484982396281125,3.3347746063850376,0.45476750514738096,-2.4571184445433456,-3.8257361082671286,-3.8215483913059707,-2.7555826785772046,-0.6111367383943765,1.3589915488178064,1.8120307842465497,1.3518762909454203,1.0249043878587691],[-3.1108407326721443,-4.962340549920556,-4.208183594777955,-2.208000082774328,0.1700923266702239,1.488781041729768,0.33530194774978894,-2.003760315914682,-3.4029541041280438,-3.311907912375593,-1.7028059026775586,1.1167386569020923,3.168244918581225,2.7195920253641876,0.6749551956275928,-1.1954806887879559],[-1.300686555021971,-0.46738648257539994,0.9993343362635455,2.0815011827405847,1.600446763680934,-0.13901722766840385,-2.2674791324210584,-4.129303935996106,-4.197259349173904,-1.2979018624337924,3.2890904596408035,7.298870845816918,8.758396713484075,6.1737888280927,0.6015901452550372,-4.260881380681812],[-7.33953620878022,-4.614948006469089,-1.4590684424728657,0.1987212494249928,0.581968318190399,0.22730477177663466,-0.8633480463026788,-2.0627033913180464,-2.727258020071482,-2.507686714927746,-0.8891632732429875,2.0611593572967903,4.551051264941435,4.444400698342227,1.7650861275020069,-1.4866256839725467],[-4.011814300662961,-5.095004288733251,-3.6845433924380586,-1.9275452298462916,-0.08958346576212464,0.7949196193161947,-0.5839603755889456,-2.2948457369170088,-2.8283568968961683,-2.9573766867622204,-1.904388786424133,1.1687718073050959,3.5298003291656523,2.941061448371713,0.6404641019743078,-2.015019756807232]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029377521.418},""label"":""raw""}"
34,"{""data"":[[-4.884993507806032,-3.807514946006674,-0.7117432100527101,1.3559995486116747,1.2376926099760621,0.4070496178899996,-0.18031237939323064,-0.6038166173995676,-0.4410498308256285,0.15843005419642087,0.257297180836593,0.37098401678239235,1.2121176012991912,1.0444406408496962,-1.3048303335879206,-4.181983407541455],[-2.5334773006618687,-0.20306201621836228,3.8528785204217835,6.346454167096456,5.483628483715046,2.1874932692902664,-1.746756785920226,-4.307575357889665,-3.4934011009502486,0.3811279441198101,4.509224805332732,6.803888588437563,6.632267366012234,3.3886277549809027,-1.6613862844261673,-5.150604664713902],[-5.7475300973518735,-0.8508635046219091,5.792426287908391,10.16903590709607,9.582615993795521,4.426091351337228,-2.1356806772511985,-7.005933779834158,-9.007033995570206,-7.952010140953643,-4.858929498219777,-1.794757186363252,0.07984281137477933,0.37033308486805216,-1.2455747504297223,-3.8822343744388967],[1.0572210301034621,1.7370659577535665,2.6317608071514953,2.080938215349591,-0.3513479065685847,-2.958182805810722,-4.415124303458416,-4.565089558184868,-3.0272378426272355,-0.4079439522720558,1.3680349425102891,1.6927638060057695,1.3457921699154467,0.308043951090457,-1.213382224276438,-1.9301086436243604],[-1.9667419926952818,-0.9033140912919642,1.5057208217516336,2.847864819274251,1.8207569745961734,-0.2994125799266094,-2.374810272444717,-4.10396008863411,-4.33497103466892,-2.9099260001773275,-1.587602459236643,-1.0728169208341278,-0.7966895259411154,-1.2036864811283454,-2.0851618433468175,-1.7814961237369369],[-5.5282976425564945,-2.8619653064566375,1.9939410634678425,6.333870164084173,8.029719988084132,6.994297798766919,4.914555379641425,3.3528516279059257,3.1708548210444762,4.861927788527934,7.210559489384067,7.746059519302776,5.260291031539742,-0.13209444545365567,-7.3428348973899835,-13.73302164343134],[-2.793136697024593,0.0600733267164868,6.709049440700945,13.634217439433954,17.668008028922177,18.0986079790952,15.738977412039125,12.487675524651575,10.947667659599677,11.986460887271006,13.57067736843699,12.897689629258554,8.18567145740265,-1.0557373713648808,-12.673654276191455,-22.23815416029973],[-3.614256839003886,-1.3257347681117637,4.453695518884167,9.213177918890379,11.046710750303518,11.657419756492166,12.038604239077351,12.674346750410862,15.11613250194404,18.269389055638097,18.211623975861436,13.502729833701173,4.9783559922222,-7.215130438860948,-20.415793615300224,-29.082696026074302]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029377583.773},""label"":""raw""}"
35,"{""data"":[[-5.970161427180852,-6.025651614412875,-3.623405558910553,0.2606377336267536,2.6463939208489364,1.9898493641559898,-1.0104837427542557,-5.24683787753525,-8.720354330172409,-8.456458604884507,-4.294088700483913,0.687746911467007,3.8228427648837737,3.7916780731140145,0.04544457241824418,-5.647913094667245],[-5.5486646355600575,-3.8401519578995127,-1.183082130364717,0.9181580351521731,0.599904122054,-1.956973374816419,-4.595459706857948,-6.294877357246211,-7.040650241148773,-5.875327789603471,-3.1990907636334125,-0.999925959344331,0.14992947729277012,0.30087975568420244,-1.2249862722657026,-4.023413915779145],[-5.286817091186906,-4.070671921810606,-0.6702806946500384,3.545279838127373,6.5051335799755385,6.170749888124382,3.0901482572378622,0.06383177952278252,-0.8712152907444091,0.6303643361260995,3.7316258925987777,6.338428857330374,6.3367843329033,3.9418905273108136,1.161975466241075,-0.5852888816704866],[-1.5456473341680745,-0.7198765102503164,0.6686780818812706,2.663377338302106,4.206580238592393,4.536157648979774,3.9502044185026453,2.4844560445463397,0.12083528329190307,-1.6168856691795939,-1.7978905067389916,-1.4600200281551787,-1.3025359416831055,-1.56597324295081,-3.0056728083203863,-4.983616805086109],[-0.31147499790237043,0.9076038521472994,1.7789303801331822,2.722279023086194,3.3771688457313607,3.675923956965362,3.9930937225059164,3.5399241175838703,1.3600511938849138,-0.9799523475486536,-1.8527522810174741,-1.592267740341124,-0.4056384473581569,0.9931563559652699,0.4291201523734747,-2.3862982594481874],[-16.600048314371033,-15.250736414928188,-10.450501308413642,-3.714634852159321,2.5307086367791785,5.492762660775683,3.7962923753151596,-1.389478179877551,-7.195196061690487,-10.399866818135393,-8.44548980649948,-1.3920700474932195,7.177999374052966,12.700712701876913,11.970913320653613,3.9728072280937834],[-26.6523132786406,-25.756100278632864,-20.62510155964074,-13.41709901422508,-7.446582471085568,-5.025679028788288,-6.672986512613884,-11.555950229696576,-16.8672580053231,-18.773452830363723,-15.752751414641057,-9.067065938188025,-0.8847723063752309,5.88281579692514,7.229712241410402,0.01531279881544556],[-30.87921951838659,-27.228340319247394,-19.59713613936728,-10.745373663991822,-4.872155315598897,-3.532895590765272,-6.2550156066161255,-12.504955165945434,-19.444609391650218,-22.15871467183476,-18.861140185366665,-11.064795161871789,-0.7823618987585732,8.00851793691292,9.18157080504732,-0.6513029649893394]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029377646.007},""label"":""raw""}"
36,"{""data"":[[-9.775048638667924,-11.06154999705917,-11.003947088479642,-10.488938654633367,-9.575683175972674,-9.188561813286984,-9.792226225518451,-10.71485399126055,-11.381522124085137,-10.997688704039724,-8.343319806535536,-4.175017167463209,-1.1175921440342174,-0.601691198991614,-1.990492236699371,-3.623645782634372],[-6.371370670609393,-7.595253520000554,-8.639332046267576,-9.788477178454515,-10.546109311330566,-11.105587500914663,-11.412552581971312,-11.103879793948632,-10.38075545207068,-9.161636466468131,-6.797800289115404,-3.553379541016834,-0.4936052863188958,1.5741755897134277,2.155054317809083,1.2247060538906935],[-0.6134326434217531,1.3156354943475321,3.9748092039277623,6.105554593620477,7.7472205882135015,8.489660927996583,7.328723582356775,5.264387522455715,4.5952793562841645,6.051853799642847,8.918410843442182,12.240435928717933,14.448446231900213,14.045645151448516,11.633098601679006,8.761571265425694],[-5.42563481880927,-3.962399657304165,-2.0799267165683153,-0.5667714320716777,0.3275490914153061,0.23314367661647833,-0.28924025515757573,-0.5458619122349759,-0.6449511906037046,-0.5153263311435552,0.31348096550109383,1.4772268557760393,2.217491917497793,2.468030569299192,2.381068950799736,1.9551758378404829],[-4.899701230013975,-5.432186038618243,-4.410390168639161,-2.313323520660444,-0.112476723436508,0.388640634660517,-0.84055940097578,-2.2720958370659554,-2.8490117804510913,-1.756277421417888,1.4500600667933505,5.061903874013572,6.695676250502929,6.125761161771537,4.442214016693592,2.637761040682986],[-8.524183385007653,-19.746999932498674,-25.6195676239439,-25.625747373390762,-21.480958585031225,-16.667106677635147,-14.425721820672951,-13.890955738519285,-11.56026486872812,-6.068460706260518,1.570467764920073,9.58130769028438,15.34604102593228,16.769574602048706,14.617889768374855,11.21691755891905],[-15.331895262679557,-34.87771733349108,-53.309279920400854,-65.34596956306991,-68.25742647639264,-64.17986534682322,-57.792787105154964,-52.345390522384136,-48.3176170268622,-44.10948594035641,-37.64350404502585,-28.50061373330021,-18.364785093484738,-9.508562980074277,-2.8025733132215205,2.9017925575702064],[-19.490086356227863,-42.28105325902605,-62.70146219334534,-74.30093128915485,-74.63472574018155,-67.4346714830194,-58.62075006667895,-52.73489619898389,-50.862868203359184,-49.28372344818453,-42.828700620118084,-30.891334157879882,-17.276630672158667,-6.24855522444757,-0.39656223881434144,1.3040612278732073]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029377708.573},""label"":""raw""}"
37,"{""data"":[[-3.207977522425719,0.42065026199732625,5.407410939142436,9.12554829153564,10.741438407819675,10.158961787029531,7.8198978813278295,5.840833637387659,5.824186285470978,7.03476139353564,8.346686861016172,9.561002363994195,9.918955137479372,8.655459853125592,6.565187936080038,4.516014909870787],[0.07003099561098536,0.5393758487421758,2.8223071905888513,5.786836879025171,8.528524574322038,9.627887995816344,8.087875113889005,5.743950410636034,5.25605879467297,7.002496642463078,9.837515004477558,12.610497663015469,13.457966169613918,11.171965907004509,7.272622445832207,3.896982156736855],[5.982078700706667,4.038877616596613,3.907150836372226,4.532101690888404,3.7762939117138536,0.8904666283027032,-3.3965502439956587,-7.4091305323229895,-8.87456818014217,-7.288281056193833,-4.755897809734962,-3.3262488881891468,-3.3750442305322177,-4.375990555407562,-5.579297107577757,-5.985714494396655],[1.7567682987232955,2.5549344160813634,3.8946727931101526,4.722674913570925,4.7088557868209895,3.3477539708992547,0.36778243746136097,-2.4602740924388407,-3.1689003101014865,-1.998587869646456,-0.15003763529419367,1.6982455443813587,2.50695517250316,1.8173126853373889,0.8668261920712585,0.38814244129914666],[2.074170841578792,3.5126325327302137,5.703920426684769,7.033345188225244,7.118217003753202,5.452448525660425,1.6977138029250072,-2.025278172176503,-3.070622254953656,-1.4182622088487926,1.4932891504842052,4.458485014896011,5.7971196680540835,4.96441176424514,3.661569253278108,2.860328546861465],[8.348520366222473,7.67790278154694,9.93493853323459,13.280538008543832,15.238052553693276,14.971336784342046,13.103184088540837,11.104147685668448,10.569062624905857,11.578015330775358,12.79553233504936,13.238409311809553,12.865493662063546,11.829773484003091,10.105631895665677,8.406528966707793],[9.767590441907172,18.99504988371121,28.97344383763175,36.29754638152495,39.16409370705476,38.333173911176495,36.019360692005336,35.14918551627058,37.11619519214468,40.253757419557886,42.287377645219124,42.77567174712202,42.162778559871526,40.79271783015033,38.953102179808724,36.846626760938165],[4.02848912645192,12.023090601776424,23.5139899792474,33.76540499226282,39.942561460776055,40.76752049895181,37.46342032029117,35.361582891409476,37.79982090119913,42.47985649573637,46.292851291938774,48.163362943908304,47.39655434805171,44.59441278973024,42.11720610777304,40.63310622768989]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029377771.23},""label"":""raw""}"
38,"{""data"":[[2.610650835927472,1.9564153145968106,3.4791005661686856,5.769615670952627,7.260958713151714,7.99740955302196,8.278527004238692,8.389573137448082,9.065293465569273,9.613466934384096,8.035992854324016,4.063723491160593,-0.6471547676395,-4.769801536717665,-6.804854046673985,-5.077515307608251],[1.8409916721098893,1.8392265463816186,3.9754920681909818,6.396519102804587,7.142786621853989,5.829457697253654,3.3933233628858397,1.508762837905382,2.066680129410508,5.265911151003599,8.404235404680241,8.537527913677867,5.184324788359684,-0.5741176363610418,-6.082942985548784,-7.813314039779799],[-5.321538573297062,-4.527190769981406,-4.254184130871626,-4.3425993620512875,-5.3480154168116965,-7.598145903948554,-9.529517887386916,-9.783334944957339,-8.61672370596998,-6.22221179936396,-3.373297895163291,-1.9428595884870967,-2.379330998531021,-3.187124838944364,-2.9004896821287476,-1.236625311357552],[-0.09612175522637015,-0.44316820138381263,-0.39512250855954134,-0.6801756080525876,-1.761712533930955,-3.085044259038135,-4.094578219801262,-4.546899388910399,-3.7620188784860744,-1.7385063237855871,-0.010031030868787205,0.4796777242366518,0.1410181398991106,-1.0929050585716227,-2.758734124540071,-3.131897931187157],[1.9323290571722824,0.9123167147233938,0.22475168725878059,-0.6611087981750052,-2.2536254626460828,-4.239053702894905,-6.1932416654357745,-7.4550280438700325,-6.498738665917704,-3.039783895988097,0.5483827370749439,1.9760073351321032,1.0077052031260962,-1.963435404274528,-5.3757973803370165,-6.37999012542772],[7.49534268121285,7.056993202695576,6.804810337032367,6.610177190304945,5.330978407050084,2.6232472860807343,0.700158135065321,1.5348668541081372,4.28446001029692,6.745329243502169,6.1221110840658035,0.15343932192990462,-9.469085604004674,-17.296824881332977,-18.577725465725276,-12.692746168777749],[34.788821095506776,33.673201590352434,33.974852680383584,34.29978617174401,32.195034617792814,26.574351456497375,19.574186877649986,15.391978673883076,16.355557107909625,20.153155831113494,21.01788211134501,14.346871000424484,0.9116446838604979,-13.506657531306121,-21.54961470674796,-19.14496356378347],[39.0110001680207,37.9472380539942,37.87537369060812,36.14545057592953,31.127247307980213,24.121684848433794,17.729067971633167,15.788451679127125,20.614760327633483,28.00320680022621,29.84955548459251,21.756886409880774,5.829171930773578,-11.732024858024397,-22.667281526147768,-20.94603617193259]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029377833.816},""label"":""raw""}"
39,"{""data"":[[-0.4492836660246926,4.331998537259858,7.644174078872212,8.425216596662148,5.972288872981706,2.023434557886721,-0.6053390847332154,-1.1442354876820222,-0.25656471560238203,1.7937745626051802,3.9253292377006006,4.586614568674746,3.9093683802111663,2.9232644475447005,1.979845823818708,1.4690354154976566],[-5.126730247325582,-0.2281681998181213,4.927778988414349,8.45468487251793,8.611600194096855,5.778473858749468,2.0128937689050344,-0.9722780220269325,-2.0637818378856667,-0.361864925451985,2.9450673535484877,4.732670830606052,3.450406429964352,0.05001881388214935,-3.721694014202713,-5.668417533434547],[1.082127037136316,2.422111094747052,1.0817545798954726,-2.453217443342204,-5.510614908000117,-6.511051050338514,-5.63160939894374,-3.665338289668376,-2.027682486882556,-1.6597927006629294,-2.139451389289008,-3.341131916199068,-6.009318068292008,-9.875238736548964,-13.19194668561169,-14.471580177049642],[-1.838350993365907,0.05169301833955986,1.9569888716973691,3.189721117302165,2.753757943750033,1.0187524507757935,-0.5850426420835242,-1.612626613832648,-2.3393614999150967,-2.1713118508927725,-0.9801347072147444,0.044572185606120196,0.3306992059372111,0.15117848007328838,-0.7901780028636234,-2.1168722797253285],[-4.310178287873063,-0.9044160935518826,2.5505690754398405,4.855087278832778,4.473628895495088,1.6538670788092924,-1.637216808792155,-4.072200099805727,-5.014296002376546,-3.3805909242449714,0.23599624302649325,2.941566574130719,2.9788580935878843,0.8281719274067845,-2.452442628968117,-4.720756469668997],[-2.9923959130578783,5.15561548778602,7.169396261973284,2.797575424964082,-3.72145486718529,-7.987452353893923,-7.738340458674207,-3.4646325634447894,1.3574726650078444,3.1964404964552644,1.1104451775702806,-3.6237402575456317,-8.504103374121463,-10.906784290924065,-9.646488635427724,-6.027994348563807],[-8.746255920976388,3.4824223343133696,12.679013855844667,16.565322981286116,15.38420732642134,11.767859586684793,8.610975756777316,7.15673947589957,7.596288054879102,9.902638464727374,12.744525351523398,13.890985709107355,12.53397835198219,9.575569671905994,6.3255801264076705,4.210663047562344],[-8.700393329969753,6.613086190072173,19.57394329825188,26.80196725077093,26.17485942066181,19.88576466759429,12.407161831677552,6.098960635802211,2.583449510629156,4.188614516560117,9.65899944576605,14.548164366028695,16.34590424023316,14.894028655962007,11.079388542352941,7.3720895912088364]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029377896.169},""label"":""raw""}"
40,"{""data"":[[1.9411981699224972,2.9543866438511976,3.626993432809705,4.051438825380327,4.043472627907989,2.3236285000726085,-1.1336880187736713,-4.813549546874801,-7.337306912436686,-7.319653377931028,-3.863506350129663,1.1130112552998908,4.156213936836518,3.832432314477505,1.140556454326635,-2.249762983693429],[-4.382543054500494,-1.1653144015435115,1.686121482394259,3.482654069857297,4.031246029943728,2.9095830587218208,0.8151850398758627,-1.2699803074228821,-2.9644172040774537,-3.5786627941720086,-2.4064511175679653,-0.3782792132026216,0.5078875195085566,-0.48894781542085797,-2.5272951411594233,-4.873694025585024],[-13.153123264187213,-9.18924492461878,-4.050853849937285,-0.07378304272823888,1.8530328344238614,1.9653171426323741,0.24448918735543002,-2.6015504172936312,-4.892357709696416,-5.620784745941194,-4.824632459039013,-3.0739927153446285,-2.0225000588247033,-3.179051556712291,-5.582291920695222,-7.0656265164709655],[-2.4089621750991164,-1.7086995840702275,-1.0447085424741767,-0.26183346135165775,0.6854147781045288,1.2007967949085812,1.6813044732108515,2.5504056189520705,3.03528695178606,2.5032420120517895,1.5103490235721133,0.35271364649920955,-1.2440338014159018,-2.6954219889583753,-3.3775366838117638,-3.7014430563512963],[-3.7463317257952733,-0.4646704017837626,2.476864963421257,4.165917636515463,4.472982219580655,3.1977636517184127,1.3533938166432482,-0.06741327293879307,-1.4008793262976336,-2.7511101427276303,-3.0488783270676727,-2.2620250266759636,-1.7736472955677278,-1.9199151768303997,-2.18077726335792,-2.6355377087616576],[-2.389132383134527,0.42007340122481895,2.203357659597871,2.4575483353697205,1.31575315410298,-0.9062041652838193,-4.183741187342357,-7.233980357229287,-8.007249422347389,-6.268613336384756,-3.6835253981972107,-1.9242765256469885,-2.171589637687473,-4.406695848370915,-6.355298093646289,-5.816446499878074],[4.139601509053374,5.529250904918958,6.892954440299403,7.369782393693864,6.549731396694996,3.8843901117269386,-0.04579498279596139,-3.4817237732447452,-5.27366657850469,-5.0886055980667955,-3.1077037334830595,-0.8760018425106115,-0.5734905460461991,-3.059004640529972,-7.507212155502117,-12.580431417562128],[5.9323278783596365,6.177547333251106,6.715779715168262,7.784631965182978,9.103765023398779,8.563123590450108,5.418614369736116,0.5654125868510516,-4.999548780001219,-8.884650128077013,-8.323781124010273,-4.54795263252125,-1.3908792025757888,-0.9617605661352732,-3.6299759752669627,-8.891252751263366]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029377958.715},""label"":""raw""}"
41,"{""data"":[[-4.234660164528738,-3.124440309509443,-0.1397978331652583,2.006101196555156,2.3871574575384056,0.6277733328352304,-3.537740764484904,-7.960818666137377,-10.04073379170634,-9.25909262925128,-6.058766893268709,-1.6218847897547395,1.3551592404945976,1.310377639900678,-0.34404075210500795,-1.7957489522708538],[-6.573486668529004,-6.267525026105945,-4.452001849393351,-2.7242167749736086,-1.3186832376059754,-0.6254856833090333,-1.704745431793669,-3.767034715390057,-4.874163444338349,-4.123381275626119,-1.4377886711822296,2.474428096505565,5.084563946022968,4.2289227196872305,0.8075472119659626,-2.8440404544085367],[-6.3483415427973675,-3.2482869722593746,1.07155334028712,4.102975839507643,3.9390687919338907,0.972290564631519,-2.8771128548429177,-5.75331980635316,-5.668631462154668,-1.606403550161824,4.223063045143168,8.494685221428478,10.16074446455433,9.538088311727916,7.534418613845137,6.371688327400211],[-3.431392600811319,-1.8012039752302362,0.4192306485357651,1.9513315336452988,2.6700930370833706,2.3593097916523447,0.6215958981358483,-1.4427080172652123,-2.4451745350818603,-2.3263081880450005,-1.2638057205020192,0.661557563968643,2.0097876153731793,1.5394440273057164,0.22626617016729256,-0.5472324642163778],[-2.6437840971802284,-1.2172634725011826,0.6261416212622517,1.355593005444187,1.1551611015522072,0.14332464870602069,-2.239645511966762,-4.9887637838231536,-6.430147243403512,-6.145793927432559,-4.04654781737013,-0.40446346873426897,2.4265186301246073,2.4860220157185555,0.997514059395175,-0.052360280868651854],[-2.8671547743499604,1.197710140716723,4.860971344768091,6.409840042404625,4.904339353882778,0.8647452915599319,-4.658585740057218,-10.668948417530322,-14.869360814678078,-14.687799043781544,-10.355583983875619,-4.455933535065329,0.2719702901628911,1.5459963475515839,-0.9499199201038189,-4.2537092102894185],[-16.333306679196728,-16.713262812086597,-13.871315192410503,-10.005157795609694,-7.373927556934344,-7.8232783234818815,-11.79599373627752,-17.08545586307203,-20.599475689325438,-20.999104026625588,-18.946452269310715,-16.336480008754116,-15.752812163568388,-18.269430125452576,-22.041770797638804,-24.18492902038984],[-14.064712900089113,-15.974698377937136,-15.016469132451157,-13.347577992325585,-11.618908728984444,-11.402599673704625,-14.595938436511606,-19.293954863233107,-22.84529464691835,-24.537403086175935,-23.348717944517276,-19.273560182041905,-15.737715625890546,-15.374074153974759,-17.037142329119106,-19.14644272743773]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029378021.231},""label"":""raw""}"
